"study","variable","dataset","concept","lid_item_id","is_key","lid_ref_varname","lid_ref_recname","lid_ref_year","description","description_long","boost"
"soep-long","PLB0299","PL","pend3",350,"","BCP7402","BCP",2012,"The variable is available for 28 years, ranging from 1985 to 2012.","#### 1985
* Var with original data within SOEPlong: P0350
* SOEPcore: BP23G02

#### 1986
* Var with original data within SOEPlong: P0350
* SOEPcore: CP23G02

#### 1987
* Var with original data within SOEPlong: P0350
* SOEPcore: DP21G02

#### 1988
* Var with original data within SOEPlong: P0350
* SOEPcore: EP21G02

#### 1989
* Var with original data within SOEPlong: P0350
* SOEPcore: FP19G02

#### 1990
* Var with original data within SOEPlong: P0350
* SOEPcore: GP22G02

#### 1991
* Var with original data within SOEPlong: P0350
* SOEPcore: HP24G02

#### 1992
* Var with original data within SOEPlong: P0350
* SOEPcore: IP24G02

#### 1993
* Var with original data within SOEPlong: P0350
* SOEPcore: JP24G02

#### 1994
* Var with original data within SOEPlong: P0350
* SOEPcore: KP2102

#### 1995
* Var with original data within SOEPlong: P0350
* SOEPcore: LP1702

#### 1996
* Var with original data within SOEPlong: P0350
* SOEPcore: MP6202

#### 1997
* Var with original data within SOEPlong: P0350
* SOEPcore: NP6202

#### 1998
* Var with original data within SOEPlong: P0350
* SOEPcore: OP5302

#### 1999
* Var with original data within SOEPlong: P0350
* SOEPcore: PP7002

#### 2000
* Var with original data within SOEPlong: P0350
* SOEPcore: QP7002

#### 2001
* Var with original data within SOEPlong: P0350
* SOEPcore: RP7002

#### 2002
* Var with original data within SOEPlong: P0350
* SOEPcore: SP7002

#### 2003
* Var with original data within SOEPlong: P0350
* SOEPcore: TP8802

#### 2004
* Var with original data within SOEPlong: P0350
* SOEPcore: UP7302

#### 2005
* Var with original data within SOEPlong: P0350
* SOEPcore: VP9402

#### 2006
* Var with original data within SOEPlong: P0350
* SOEPcore: WP8202

#### 2007
* Var with original data within SOEPlong: P0350
* SOEPcore: XP8802

#### 2008
* Var with original data within SOEPlong: P0350
* SOEPcore: YP8902

#### 2009
* Var with original data within SOEPlong: P0350
* SOEPcore: ZP8502

#### 2010
* Var with original data within SOEPlong: P0350
* SOEPcore: BAP7602

#### 2011
* Var with original data within SOEPlong: P0350
* SOEPcore: BBP8602

#### 2012
* Var with original data within SOEPlong: P0350
* SOEPcore: BCP7402
",0.97
"soep-long","PLB0301","PL","pend4",351,"","BCP7501","BCP",2012,"The variable is available for 28 years, ranging from 1985 to 2012.","#### 1985
* Var with original data within SOEPlong: P0351
* SOEPcore: BP24G01

#### 1986
* Var with original data within SOEPlong: P0351
* SOEPcore: CP24G01

#### 1987
* Var with original data within SOEPlong: P0351
* SOEPcore: DP22G01

#### 1988
* Var with original data within SOEPlong: P0351
* SOEPcore: EP22G01

#### 1989
* Var with original data within SOEPlong: P0351
* SOEPcore: FP20G01

#### 1990
* Var with original data within SOEPlong: P0351
* SOEPcore: GP23G01

#### 1991
* Var with original data within SOEPlong: P0351
* SOEPcore: HP25G01

#### 1992
* Var with original data within SOEPlong: P0351
* SOEPcore: IP25G01

#### 1993
* Var with original data within SOEPlong: P0351
* SOEPcore: JP25G01

#### 1994
* Var with original data within SOEPlong: P0351
* SOEPcore: KP2201

#### 1995
* Var with original data within SOEPlong: P0351
* SOEPcore: LP1801

#### 1996
* Var with original data within SOEPlong: P0351
* SOEPcore: MP6301

#### 1997
* Var with original data within SOEPlong: P0351
* SOEPcore: NP6301

#### 1998
* Var with original data within SOEPlong: P0351
* SOEPcore: OP5401

#### 1999
* Var with original data within SOEPlong: P0351
* SOEPcore: PP7101

#### 2000
* Var with original data within SOEPlong: P0351
* SOEPcore: QP7101

#### 2001
* Var with original data within SOEPlong: P0351
* SOEPcore: RP7101

#### 2002
* Var with original data within SOEPlong: P0351
* SOEPcore: SP7101

#### 2003
* Var with original data within SOEPlong: P0351
* SOEPcore: TP8901

#### 2004
* Var with original data within SOEPlong: P0351
* SOEPcore: UP7401

#### 2005
* Var with original data within SOEPlong: P0351
* SOEPcore: VP9501

#### 2006
* Var with original data within SOEPlong: P0351
* SOEPcore: WP8301

#### 2007
* Var with original data within SOEPlong: P0351
* SOEPcore: XP8901

#### 2008
* Var with original data within SOEPlong: P0351
* SOEPcore: YP9001

#### 2009
* Var with original data within SOEPlong: P0351
* SOEPcore: ZP8601

#### 2010
* Var with original data within SOEPlong: P0351
* SOEPcore: BAP7701

#### 2011
* Var with original data within SOEPlong: P0351
* SOEPcore: BBP8701

#### 2012
* Var with original data within SOEPlong: P0351
* SOEPcore: BCP7501
",0.97
"soep-long","PLB0302","PL","pend5",352,"","BCP7502","BCP",2012,"The variable is available for 28 years, ranging from 1985 to 2012.","#### 1985
* Var with original data within SOEPlong: P0352
* SOEPcore: BP24G02

#### 1986
* Var with original data within SOEPlong: P0352
* SOEPcore: CP24G02

#### 1987
* Var with original data within SOEPlong: P0352
* SOEPcore: DP22G02

#### 1988
* Var with original data within SOEPlong: P0352
* SOEPcore: EP22G02

#### 1989
* Var with original data within SOEPlong: P0352
* SOEPcore: FP20G02

#### 1990
* Var with original data within SOEPlong: P0352
* SOEPcore: GP23G02

#### 1991
* Var with original data within SOEPlong: P0352
* SOEPcore: HP25G02

#### 1992
* Var with original data within SOEPlong: P0352
* SOEPcore: IP25G02

#### 1993
* Var with original data within SOEPlong: P0352
* SOEPcore: JP25G02

#### 1994
* Var with original data within SOEPlong: P0352
* SOEPcore: KP2202

#### 1995
* Var with original data within SOEPlong: P0352
* SOEPcore: LP1802

#### 1996
* Var with original data within SOEPlong: P0352
* SOEPcore: MP6302

#### 1997
* Var with original data within SOEPlong: P0352
* SOEPcore: NP6302

#### 1998
* Var with original data within SOEPlong: P0352
* SOEPcore: OP5402

#### 1999
* Var with original data within SOEPlong: P0352
* SOEPcore: PP7102

#### 2000
* Var with original data within SOEPlong: P0352
* SOEPcore: QP7102

#### 2001
* Var with original data within SOEPlong: P0352
* SOEPcore: RP7102

#### 2002
* Var with original data within SOEPlong: P0352
* SOEPcore: SP7102

#### 2003
* Var with original data within SOEPlong: P0352
* SOEPcore: TP8902

#### 2004
* Var with original data within SOEPlong: P0352
* SOEPcore: UP7402

#### 2005
* Var with original data within SOEPlong: P0352
* SOEPcore: VP9502

#### 2006
* Var with original data within SOEPlong: P0352
* SOEPcore: WP8302

#### 2007
* Var with original data within SOEPlong: P0352
* SOEPcore: XP8902

#### 2008
* Var with original data within SOEPlong: P0352
* SOEPcore: YP9002

#### 2009
* Var with original data within SOEPlong: P0352
* SOEPcore: ZP8602

#### 2010
* Var with original data within SOEPlong: P0352
* SOEPcore: BAP7702

#### 2011
* Var with original data within SOEPlong: P0352
* SOEPcore: BBP8702

#### 2012
* Var with original data within SOEPlong: P0352
* SOEPcore: BCP7502
",0.97
"soep-long","PLB0303","PL","pend6",353,"","OP5501","OP",1998,"The variable is available for 8 years, ranging from 1991 to 1998.","#### 1991
* Var with original data within SOEPlong: P0353
* SOEPcore: HP26G01

#### 1992
* Var with original data within SOEPlong: P0353
* SOEPcore: IP26G01

#### 1993
* Var with original data within SOEPlong: P0353
* SOEPcore: JP26G01

#### 1994
* Var with original data within SOEPlong: P0353
* SOEPcore: KP2301

#### 1995
* Var with original data within SOEPlong: P0353
* SOEPcore: LP1901

#### 1996
* Var with original data within SOEPlong: P0353
* SOEPcore: MP6401

#### 1997
* Var with original data within SOEPlong: P0353
* SOEPcore: NP6401

#### 1998
* Var with original data within SOEPlong: P0353
* SOEPcore: OP5501
",0.28
"soep-long","PLB0339","PL","pend6",354,"","OP5502","OP",1998,"The variable is available for 8 years, ranging from 1991 to 1998.","#### 1991
* Var with original data within SOEPlong: P0354
* SOEPcore: HP26G02

#### 1992
* Var with original data within SOEPlong: P0354
* SOEPcore: IP26G02

#### 1993
* Var with original data within SOEPlong: P0354
* SOEPcore: JP26G02

#### 1994
* Var with original data within SOEPlong: P0354
* SOEPcore: KP2302

#### 1995
* Var with original data within SOEPlong: P0354
* SOEPcore: LP1902

#### 1996
* Var with original data within SOEPlong: P0354
* SOEPcore: MP6402

#### 1997
* Var with original data within SOEPlong: P0354
* SOEPcore: NP6402

#### 1998
* Var with original data within SOEPlong: P0354
* SOEPcore: OP5502
",0.28
"soep-long","PLB0340","PL","pend6",355,"","OP5503","OP",1998,"The variable is available for 12 years, ranging from 1987 to 1998.","#### 1987
* Var with original data within SOEPlong: P0355
* SOEPcore: DP23G03

#### 1988
* Var with original data within SOEPlong: P0355
* SOEPcore: EP23G03

#### 1989
* Var with original data within SOEPlong: P0355
* SOEPcore: FP21G03

#### 1990
* Var with original data within SOEPlong: P0355
* SOEPcore: GP24G03

#### 1991
* Var with original data within SOEPlong: P0355
* SOEPcore: HP26G03

#### 1992
* Var with original data within SOEPlong: P0355
* SOEPcore: IP26G03

#### 1993
* Var with original data within SOEPlong: P0355
* SOEPcore: JP26G03

#### 1994
* Var with original data within SOEPlong: P0355
* SOEPcore: KP2303

#### 1995
* Var with original data within SOEPlong: P0355
* SOEPcore: LP1903

#### 1996
* Var with original data within SOEPlong: P0355
* SOEPcore: MP6403

#### 1997
* Var with original data within SOEPlong: P0355
* SOEPcore: NP6403

#### 1998
* Var with original data within SOEPlong: P0355
* SOEPcore: OP5503
",0.41
"soep-long","PLB0304","PL","pend6",353,"","BCP76","BCP",2012,"The variable is available for 28 years, ranging from 1985 to 2012. To harmonize this variable over time 16 replace or recode commands were necessary.","#### 1985
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1986
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1987
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1988
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1989
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1990
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1991
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0355 P0353 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 9 IF P0355==1  ,  REP 1 IF P0353==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1992
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0355 P0353 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 9 IF P0355==1  ,  REP 1 IF P0353==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1993
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0355 P0353 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 9 IF P0355==1  ,  REP 1 IF P0353==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1994
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0355 P0353 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 9 IF P0355==1  ,  REP 1 IF P0353==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1995
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0355 P0353 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 9 IF P0355==1  ,  REP 1 IF P0353==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1996
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0355 P0353 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 9 IF P0355==1  ,  REP 1 IF P0353==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1997
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0355 P0353 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 9 IF P0355==1  ,  REP 1 IF P0353==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1998
* Var with original data within SOEPlong: P0364 P0361 P0360 P0357 P0355 P0353 P0359 P0358 P0362
 * Replace:   REP -3   ,  REP 13 IF P0364==1  ,  REP 12 IF P0361==1  ,  REP 11 IF P0360==1  ,  REP 10 IF P0357==1  ,  REP 9 IF P0355==1  ,  REP 1 IF P0353==1  ,  REP 2 IF P0359==1  ,  REP 3 IF P0358==1  ,  REP 5 IF PC0101==1  ,  REP 8 IF P0362==1
* SOEPcore: 

#### 1999
* Var with original data within SOEPlong: PC0278
 * Recode:   REC (1=2) (2=3) (3=4) (5=6) (6=7) (7=8) 
* SOEPcore: 

#### 2000
* Var with original data within SOEPlong: PC0278
 * Recode:   REC (1=2) (2=3) (3=4) (5=6) (6=7) (7=8) 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: P0356
* SOEPcore: RP72

#### 2002
* Var with original data within SOEPlong: P0356
* SOEPcore: SP72

#### 2003
* Var with original data within SOEPlong: P0356
* SOEPcore: TP90

#### 2004
* Var with original data within SOEPlong: P0356
* SOEPcore: UP75

#### 2005
* Var with original data within SOEPlong: P0356
* SOEPcore: VP96

#### 2006
* Var with original data within SOEPlong: P0356
* SOEPcore: WP84

#### 2007
* Var with original data within SOEPlong: P0356
* SOEPcore: XP90

#### 2008
* Var with original data within SOEPlong: P0356
* SOEPcore: YP91

#### 2009
* Var with original data within SOEPlong: P0356
* SOEPcore: ZP87

#### 2010
* Var with original data within SOEPlong: P0356
* SOEPcore: BAP78

#### 2011
* Var with original data within SOEPlong: P0356
* SOEPcore: BBP88

#### 2012
* Var with original data within SOEPlong: P0356
* SOEPcore: BCP76
",0.97
"soep-long","PLB0341","PL","pend6",357,"","OP5505","OP",1998,"The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* Var with original data within SOEPlong: P0357
* SOEPcore: BP25G03

#### 1986
* Var with original data within SOEPlong: P0357
* SOEPcore: CP25G03

#### 1987
* Var with original data within SOEPlong: P0357
* SOEPcore: DP23G04

#### 1988
* Var with original data within SOEPlong: P0357
* SOEPcore: EP23G04

#### 1989
* Var with original data within SOEPlong: P0357
* SOEPcore: FP21G04

#### 1990
* Var with original data within SOEPlong: P0357
* SOEPcore: GP24G04

#### 1991
* Var with original data within SOEPlong: P0357
* SOEPcore: HP26G05

#### 1992
* Var with original data within SOEPlong: P0357
* SOEPcore: IP26G05

#### 1993
* Var with original data within SOEPlong: P0357
* SOEPcore: JP26G05

#### 1994
* Var with original data within SOEPlong: P0357
* SOEPcore: KP2305

#### 1995
* Var with original data within SOEPlong: P0357
* SOEPcore: LP1905

#### 1996
* Var with original data within SOEPlong: P0357
* SOEPcore: MP6405

#### 1997
* Var with original data within SOEPlong: P0357
* SOEPcore: NP6405

#### 1998
* Var with original data within SOEPlong: P0357
* SOEPcore: OP5505
",0.48
"soep-long","PLB0342","PL","pend6",358,"","OP5506","OP",1998,"The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* Var with original data within SOEPlong: P0358
* SOEPcore: BP25G01

#### 1986
* Var with original data within SOEPlong: P0358
* SOEPcore: CP25G01

#### 1987
* Var with original data within SOEPlong: P0358
* SOEPcore: DP23G01

#### 1988
* Var with original data within SOEPlong: P0358
* SOEPcore: EP23G01

#### 1989
* Var with original data within SOEPlong: P0358
* SOEPcore: FP21G01

#### 1990
* Var with original data within SOEPlong: P0358
* SOEPcore: GP24G01

#### 1991
* Var with original data within SOEPlong: P0358
* SOEPcore: HP26G06

#### 1992
* Var with original data within SOEPlong: P0358
* SOEPcore: IP26G06

#### 1993
* Var with original data within SOEPlong: P0358
* SOEPcore: JP26G06

#### 1994
* Var with original data within SOEPlong: P0358
* SOEPcore: KP2306

#### 1995
* Var with original data within SOEPlong: P0358
* SOEPcore: LP1906

#### 1996
* Var with original data within SOEPlong: P0358
* SOEPcore: MP6406

#### 1997
* Var with original data within SOEPlong: P0358
* SOEPcore: NP6406

#### 1998
* Var with original data within SOEPlong: P0358
* SOEPcore: OP5506
",0.48
"soep-long","PLB0343","PL","pend6",359,"","OP5507","OP",1998,"The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* Var with original data within SOEPlong: P0359
* SOEPcore: BP25G04

#### 1986
* Var with original data within SOEPlong: P0359
* SOEPcore: CP25G04

#### 1987
* Var with original data within SOEPlong: P0359
* SOEPcore: DP23G05

#### 1988
* Var with original data within SOEPlong: P0359
* SOEPcore: EP23G05

#### 1989
* Var with original data within SOEPlong: P0359
* SOEPcore: FP21G05

#### 1990
* Var with original data within SOEPlong: P0359
* SOEPcore: GP24G05

#### 1991
* Var with original data within SOEPlong: P0359
* SOEPcore: HP26G07

#### 1992
* Var with original data within SOEPlong: P0359
* SOEPcore: IP26G07

#### 1993
* Var with original data within SOEPlong: P0359
* SOEPcore: JP26G07

#### 1994
* Var with original data within SOEPlong: P0359
* SOEPcore: KP2307

#### 1995
* Var with original data within SOEPlong: P0359
* SOEPcore: LP1907

#### 1996
* Var with original data within SOEPlong: P0359
* SOEPcore: MP6407

#### 1997
* Var with original data within SOEPlong: P0359
* SOEPcore: NP6407

#### 1998
* Var with original data within SOEPlong: P0359
* SOEPcore: OP5507
",0.48
"soep-long","PLB0344","PL","pend6",360,"","OP5508","OP",1998,"The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* Var with original data within SOEPlong: P0360
* SOEPcore: BP25G06

#### 1986
* Var with original data within SOEPlong: P0360
* SOEPcore: CP25G06

#### 1987
* Var with original data within SOEPlong: P0360
* SOEPcore: DP23G07

#### 1988
* Var with original data within SOEPlong: P0360
* SOEPcore: EP23G07

#### 1989
* Var with original data within SOEPlong: P0360
* SOEPcore: FP21G07

#### 1990
* Var with original data within SOEPlong: P0360
* SOEPcore: GP24G07

#### 1991
* Var with original data within SOEPlong: P0360
* SOEPcore: HP26G08

#### 1992
* Var with original data within SOEPlong: P0360
* SOEPcore: IP26G08

#### 1993
* Var with original data within SOEPlong: P0360
* SOEPcore: JP26G08

#### 1994
* Var with original data within SOEPlong: P0360
* SOEPcore: KP2308

#### 1995
* Var with original data within SOEPlong: P0360
* SOEPcore: LP1908

#### 1996
* Var with original data within SOEPlong: P0360
* SOEPcore: MP6408

#### 1997
* Var with original data within SOEPlong: P0360
* SOEPcore: NP6408

#### 1998
* Var with original data within SOEPlong: P0360
* SOEPcore: OP5508
",0.48
"soep-long","PLB0345","PL","pend6",361,"","OP5509","OP",1998,"The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* Var with original data within SOEPlong: P0361
* SOEPcore: BP25G07

#### 1986
* Var with original data within SOEPlong: P0361
* SOEPcore: CP25G07

#### 1987
* Var with original data within SOEPlong: P0361
* SOEPcore: DP23G08

#### 1988
* Var with original data within SOEPlong: P0361
* SOEPcore: EP23G08

#### 1989
* Var with original data within SOEPlong: P0361
* SOEPcore: FP21G08

#### 1990
* Var with original data within SOEPlong: P0361
* SOEPcore: GP24G08

#### 1991
* Var with original data within SOEPlong: P0361
* SOEPcore: HP26G09

#### 1992
* Var with original data within SOEPlong: P0361
* SOEPcore: IP26G09

#### 1993
* Var with original data within SOEPlong: P0361
* SOEPcore: JP26G09

#### 1994
* Var with original data within SOEPlong: P0361
* SOEPcore: KP2309

#### 1995
* Var with original data within SOEPlong: P0361
* SOEPcore: LP1909

#### 1996
* Var with original data within SOEPlong: P0361
* SOEPcore: MP6409

#### 1997
* Var with original data within SOEPlong: P0361
* SOEPcore: NP6409

#### 1998
* Var with original data within SOEPlong: P0361
* SOEPcore: OP5509
",0.48
"soep-long","PLB0346","PL","pend6",362,"","OP5510","OP",1998,"The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* Var with original data within SOEPlong: P0362
* SOEPcore: BP25G08

#### 1986
* Var with original data within SOEPlong: P0362
* SOEPcore: CP25G08

#### 1987
* Var with original data within SOEPlong: P0362
* SOEPcore: DP23G09

#### 1988
* Var with original data within SOEPlong: P0362
* SOEPcore: EP23G09

#### 1989
* Var with original data within SOEPlong: P0362
* SOEPcore: FP21G09

#### 1990
* Var with original data within SOEPlong: P0362
* SOEPcore: GP24G09

#### 1991
* Var with original data within SOEPlong: P0362
* SOEPcore: HP26G10

#### 1992
* Var with original data within SOEPlong: P0362
* SOEPcore: IP26G10

#### 1993
* Var with original data within SOEPlong: P0362
* SOEPcore: JP26G10

#### 1994
* Var with original data within SOEPlong: P0362
* SOEPcore: KP2310

#### 1995
* Var with original data within SOEPlong: P0362
* SOEPcore: LP1910

#### 1996
* Var with original data within SOEPlong: P0362
* SOEPcore: MP6410

#### 1997
* Var with original data within SOEPlong: P0362
* SOEPcore: NP6410

#### 1998
* Var with original data within SOEPlong: P0362
* SOEPcore: OP5510
",0.48
"soep-long","PLB0347","PL","pend6",363,"","OP5511","OP",1998,"The variable is available for 8 years, ranging from 1991 to 1998.","#### 1991
* Var with original data within SOEPlong: P0363
* SOEPcore: HP26G11

#### 1992
* Var with original data within SOEPlong: P0363
* SOEPcore: IP26G11

#### 1993
* Var with original data within SOEPlong: P0363
* SOEPcore: JP26G11

#### 1994
* Var with original data within SOEPlong: P0363
* SOEPcore: KP2311

#### 1995
* Var with original data within SOEPlong: P0363
* SOEPcore: LP1911

#### 1996
* Var with original data within SOEPlong: P0363
* SOEPcore: MP6411

#### 1997
* Var with original data within SOEPlong: P0363
* SOEPcore: NP6411

#### 1998
* Var with original data within SOEPlong: P0363
* SOEPcore: OP5511
",0.28
"soep-long","PLB0348","PL","pend6",364,"","OP5512","OP",1998,"The variable is available for 14 years, ranging from 1985 to 1998.","#### 1985
* Var with original data within SOEPlong: P0364
* SOEPcore: BP25G09

#### 1986
* Var with original data within SOEPlong: P0364
* SOEPcore: CP25G09

#### 1987
* Var with original data within SOEPlong: P0364
* SOEPcore: DP23G10

#### 1988
* Var with original data within SOEPlong: P0364
* SOEPcore: EP23G10

#### 1989
* Var with original data within SOEPlong: P0364
* SOEPcore: FP21G10

#### 1990
* Var with original data within SOEPlong: P0364
* SOEPcore: GP24G10

#### 1991
* Var with original data within SOEPlong: P0364
* SOEPcore: HP26G12

#### 1992
* Var with original data within SOEPlong: P0364
* SOEPcore: IP26G12

#### 1993
* Var with original data within SOEPlong: P0364
* SOEPcore: JP26G12

#### 1994
* Var with original data within SOEPlong: P0364
* SOEPcore: KP2312

#### 1995
* Var with original data within SOEPlong: P0364
* SOEPcore: LP1912

#### 1996
* Var with original data within SOEPlong: P0364
* SOEPcore: MP6412

#### 1997
* Var with original data within SOEPlong: P0364
* SOEPcore: NP6412

#### 1998
* Var with original data within SOEPlong: P0364
* SOEPcore: OP5512
",0.48
"soep-long","PLC0040","PL","pend7",365,"","BCP7701","BCP",2012,"The variable is available for 22 years, ranging from 1991 to 2012.","#### 1991
* Var with original data within SOEPlong: P0365
* SOEPcore: HP27G01

#### 1992
* Var with original data within SOEPlong: P0365
* SOEPcore: IP27G01

#### 1993
* Var with original data within SOEPlong: P0365
* SOEPcore: JP27G01

#### 1994
* Var with original data within SOEPlong: P0365
* SOEPcore: KP2401

#### 1995
* Var with original data within SOEPlong: P0365
* SOEPcore: LP2001

#### 1996
* Var with original data within SOEPlong: P0365
* SOEPcore: MP6501

#### 1997
* Var with original data within SOEPlong: P0365
* SOEPcore: NP6501

#### 1998
* Var with original data within SOEPlong: P0365
* SOEPcore: OP5601

#### 1999
* Var with original data within SOEPlong: P0365
* SOEPcore: PP7301

#### 2000
* Var with original data within SOEPlong: P0365
* SOEPcore: QP7301

#### 2001
* Var with original data within SOEPlong: P0365
* SOEPcore: RP7301

#### 2002
* Var with original data within SOEPlong: P0365
* SOEPcore: SP7301

#### 2003
* Var with original data within SOEPlong: P0365
* SOEPcore: TP9101

#### 2004
* Var with original data within SOEPlong: P0365
* SOEPcore: UP7601

#### 2005
* Var with original data within SOEPlong: P0365
* SOEPcore: VP9701

#### 2006
* Var with original data within SOEPlong: P0365
* SOEPcore: WP8501

#### 2007
* Var with original data within SOEPlong: P0365
* SOEPcore: XP9101

#### 2008
* Var with original data within SOEPlong: P0365
* SOEPcore: YP9201

#### 2009
* Var with original data within SOEPlong: P0365
* SOEPcore: ZP8801

#### 2010
* Var with original data within SOEPlong: P0365
* SOEPcore: BAP7901

#### 2011
* Var with original data within SOEPlong: P0365
* SOEPcore: BBP8901

#### 2012
* Var with original data within SOEPlong: P0365
* SOEPcore: BCP7701
",0.76
